Entry	Entry name	Protein names	Gene names	Gene names  (primary )
Q9HC57	WFDC1_HUMAN	WAP four-disulfide core domain protein 1 (Prostate stromal protein ps20) (ps20 growth inhibitor)	WFDC1 PS20	WFDC1
P63121	VP113_HUMAN	Endogenous retrovirus group K member 113 Pro protein (HERV-K113 envelope protein) (HERV-K_19p13.11 provirus ancestral Pro protein) (EC 3.4.23.50) (Protease) (Proteinase) (PR)	HERVK_113	HERVK_113
P15313	VATB1_HUMAN	V-type proton ATPase subunit B, kidney isoform (V-ATPase subunit B 1) (Endomembrane proton pump 58 kDa subunit) (Vacuolar proton pump subunit B 1)	ATP6V1B1 ATP6B1 VATB VPP3	ATP6V1B1
Q6PEW1	ZCH12_HUMAN	Zinc finger CCHC domain-containing protein 12 (Smad-interacting zinc finger protein 1)	ZCCHC12 SIZN1	ZCCHC12
Q8NEG5	ZSWM2_HUMAN	E3 ubiquitin-protein ligase ZSWIM2 (EC 2.3.2.27) (MEKK1-related protein X) (MEX) (RING-type E3 ubiquitin transferase ZSWIM2) (ZZ-type zinc finger-containing protein 2) (Zinc finger SWIM domain-containing protein 2)	ZSWIM2 ZZZ2	ZSWIM2
O15535	ZSC9_HUMAN	Zinc finger and SCAN domain-containing protein 9 (Cell proliferation-inducing gene 12 protein) (PRD51) (Zinc finger protein 193)	ZSCAN9 ZNF193 PIG12	ZSCAN9
Q6ZRM9	YG024_HUMAN	Putative uncharacterized protein FLJ46235		
Q9ULJ6	ZMIZ1_HUMAN	Zinc finger MIZ domain-containing protein 1 (PIAS-like protein Zimp10) (Retinoic acid-induced protein 17)	ZMIZ1 KIAA1224 RAI17 ZIMP10	ZMIZ1
O43309	ZSC12_HUMAN	Zinc finger and SCAN domain-containing protein 12 (Zinc finger protein 305) (Zinc finger protein 96)	ZSCAN12 KIAA0426 ZNF305 ZNF96	ZSCAN12
Q5TFG8	ZC21B_HUMAN	Zinc finger C2HC domain-containing protein 1B	ZC2HC1B C6orf94 FAM164B	ZC2HC1B
P51786	ZN157_HUMAN	Zinc finger protein 157 (Zinc finger protein HZF22)	ZNF157	ZNF157
Q9UDW3	ZMAT5_HUMAN	Zinc finger matrin-type protein 5 (U11/U12 small nuclear ribonucleoprotein 20 kDa protein) (U11/U12 snRNP 20 kDa protein) (U11/U12-20K)	ZMAT5	ZMAT5
Q9P1Z0	ZBTB4_HUMAN	Zinc finger and BTB domain-containing protein 4 (KAISO-like zinc finger protein 1) (KAISO-L1)	ZBTB4 KIAA1538	ZBTB4
Q9NYG2	ZDHC3_HUMAN	Palmitoyltransferase ZDHHC3 (EC 2.3.1.225) (Acyltransferase ZDHHC3) (EC 2.3.1.-) (Protein DHHC1) (Zinc finger DHHC domain-containing protein 3) (DHHC-3)	ZDHHC3 HSD49	ZDHHC3
Q9UII5	ZN107_HUMAN	Zinc finger protein 107 (Zinc finger protein 588) (Zinc finger protein ZFD25)	ZNF107 ZFD25 ZNF588	ZNF107
Q53FD0	ZC21C_HUMAN	Zinc finger C2HC domain-containing protein 1C	ZC2HC1C C14orf140 FAM164C	ZC2HC1C
Q9UK12	ZN222_HUMAN	Zinc finger protein 222	ZNF222	ZNF222
Q9NYT6	ZN226_HUMAN	Zinc finger protein 226	ZNF226	ZNF226
Q9Y2Q1	ZN257_HUMAN	Zinc finger protein 257 (Bone marrow zinc finger 4) (BMZF-4)	ZNF257 BMZF4	ZNF257
Q15940	ZNF67_HUMAN	Putative zinc finger protein 726P1	ZNF726P1 ZNF67 ZNF67P	ZNF726P1
Q6X784	ZPBP2_HUMAN	Zona pellucida-binding protein 2 (ZPBP-like protein)	ZPBP2 ZPBPL	ZPBP2
Q02386	ZNF45_HUMAN	Zinc finger protein 45 (BRC1744) (Zinc finger protein 13) (Zinc finger protein KOX5)	ZNF45 KOX5 ZNF13	ZNF45
Q96C28	ZN707_HUMAN	Zinc finger protein 707	ZNF707	ZNF707
Q9NV72	ZN701_HUMAN	Zinc finger protein 701	ZNF701	ZNF701
O43361	ZN749_HUMAN	Zinc finger protein 749	ZNF749	ZNF749
Q6ZNC4	ZN704_HUMAN	Zinc finger protein 704	ZNF704	ZNF704
A8MUV8	ZN727_HUMAN	Putative zinc finger protein 727 (Zinc finger protein 727 pseudogene)	ZNF727 ZNF727P	ZNF727
P0DKX0	ZN728_HUMAN	Zinc finger protein 728	ZNF728	ZNF728
Q9Y462	ZN711_HUMAN	Zinc finger protein 711 (Zinc finger protein 6)	ZNF711 CMPX1 ZNF6	ZNF711
Q8NA42	ZN383_HUMAN	Zinc finger protein 383	ZNF383 HSD17	ZNF383
Q8NCA9	ZN784_HUMAN	Zinc finger protein 784	ZNF784	ZNF784
Q92670	ZN75C_HUMAN	Putative zinc finger protein 75C (Zinc finger protein 75C pseudogene)	ZNF75CP ZNF75C	ZNF75CP
Q6NX45	ZN774_HUMAN	Zinc finger protein 774	ZNF774	ZNF774
Q96DA0	ZG16B_HUMAN	Zymogen granule protein 16 homolog B	ZG16B UNQ773/PRO1567	ZG16B
Q9C0G0	ZN407_HUMAN	Zinc finger protein 407	ZNF407 KIAA1703	ZNF407
Q17R98	ZN827_HUMAN	Zinc finger protein 827	ZNF827	ZNF827
Q5JVG8	ZN506_HUMAN	Zinc finger protein 506	ZNF506	ZNF506
A6NJY4	YQ041_HUMAN	Putative transmembrane protein LOC100289255		
A8MU10	YQ047_HUMAN	Putative uncharacterized protein ENSP00000381562		
Q8N1Y9	YI025_HUMAN	Putative uncharacterized protein FLJ37218		
Q86UE3	ZN546_HUMAN	Zinc finger protein 546 (Zinc finger protein 49)	ZNF546 ZNF49	ZNF546
Q9H707	ZN552_HUMAN	Zinc finger protein 552	ZNF552	ZNF552
Q8TBZ8	ZN564_HUMAN	Zinc finger protein 564	ZNF564	ZNF564
Q9P1U0	RPA12_HUMAN	DNA-directed RNA polymerase I subunit RPA12 (DNA-directed RNA polymerase I subunit H) (Zinc ribbon domain-containing protein 1)	POLR1H RPA12 ZNRD1	POLR1H
Q9H1E1	RNAS7_HUMAN	Ribonuclease 7 (RNase 7) (EC 3.1.27.-) (Skin-derived antimicrobial protein 2) (SAP-2)	RNASE7 UNQ2516/PRO6006	RNASE7
P19388	RPAB1_HUMAN	DNA-directed RNA polymerases I, II, and III subunit RPABC1 (RNA polymerases I, II, and III subunit ABC1) (DNA-directed RNA polymerase II 23 kDa polypeptide) (DNA-directed RNA polymerase II subunit E) (RPB5 homolog) (XAP4)	POLR2E	POLR2E
P52435	RPB11_HUMAN	DNA-directed RNA polymerase II subunit RPB11-a (RNA polymerase II subunit B11-a) (RPB11a) (DNA-directed RNA polymerase II subunit J-1) (RNA polymerase II 13.3 kDa subunit)	POLR2J POLR2J1	POLR2J
Q7Z3H4	SAMD7_HUMAN	Sterile alpha motif domain-containing protein 7 (SAM domain-containing protein 7)	SAMD7	SAMD7
P51398	RT29_HUMAN	28S ribosomal protein S29, mitochondrial (MRP-S29) (S29mt) (Death-associated protein 3) (DAP-3) (Ionizing radiation resistance conferring protein) (Mitochondrial small ribosomal subunit protein mS29)	DAP3 MRPS29	DAP3
O75446	SAP30_HUMAN	Histone deacetylase complex subunit SAP30 (30 kDa Sin3-associated polypeptide) (Sin3 corepressor complex subunit SAP30) (Sin3-associated polypeptide p30)	SAP30	SAP30
Q9HBX9	RXFP1_HUMAN	Relaxin receptor 1 (Leucine-rich repeat-containing G-protein coupled receptor 7) (Relaxin family peptide receptor 1)	RXFP1 LGR7	RXFP1
Q9Y265	RUVB1_HUMAN	RuvB-like 1 (EC 3.6.4.12) (49 kDa TATA box-binding protein-interacting protein) (49 kDa TBP-interacting protein) (54 kDa erythrocyte cytosolic protein) (ECP-54) (INO80 complex subunit H) (Nuclear matrix protein 238) (NMP 238) (Pontin 52) (TIP49a) (TIP60-associated protein 54-alpha) (TAP54-alpha)	RUVBL1 INO80H NMP238 TIP49 TIP49A	RUVBL1
P57772	SELB_HUMAN	Selenocysteine-specific elongation factor (Elongation factor sec) (Eukaryotic elongation factor, selenocysteine-tRNA-specific)	EEFSEC SELB	EEFSEC
Q96GD3	SCMH1_HUMAN	Polycomb protein SCMH1 (Sex comb on midleg homolog 1)	SCMH1	SCMH1
Q9H4F1	SIA7D_HUMAN	Alpha-N-acetyl-neuraminyl-2,3-beta-galactosyl-1,3-N-acetyl-galactosaminide alpha-2,6-sialyltransferase (EC 2.4.99.7) (NeuAc-alpha-2,3-Gal-beta-1,3-GalNAc-alpha-2,6-sialyltransferase) (ST6GalNAc IV) (ST6GalNAcIV) (Sialyltransferase 3C) (SIAT3-C) (Sialyltransferase 7D) (SIAT7-D)	ST6GALNAC4 SIAT3C SIAT7D	ST6GALNAC4
O60248	SOX15_HUMAN	Protein SOX-15 (Protein SOX-12) (Protein SOX-20)	SOX15 SOX12 SOX20 SOX26 SOX27	SOX15
Q9BVH7	SIA7E_HUMAN	Alpha-N-acetylgalactosaminide alpha-2,6-sialyltransferase 5 (EC 2.4.99.-) (GD1 alpha synthase) (GalNAc alpha-2,6-sialyltransferase V) (ST6GalNAc V) (ST6GalNAcV) (Sialyltransferase 7E) (SIAT7-E)	ST6GALNAC5 SIAT7E	ST6GALNAC5
Q8TAQ2	SMRC2_HUMAN	SWI/SNF complex subunit SMARCC2 (BRG1-associated factor 170) (BAF170) (SWI/SNF complex 170 kDa subunit) (SWI/SNF-related matrix-associated actin-dependent regulator of chromatin subfamily C member 2)	SMARCC2 BAF170	SMARCC2
P61278	SMS_HUMAN	Somatostatin (Growth hormone release-inhibiting factor) [Cleaved into: Somatostatin-28; Somatostatin-14 (SST-14); Neuronostatin (NST)]	SST	SST
P30626	SORCN_HUMAN	Sorcin (22 kDa protein) (CP-22) (CP22) (V19)	SRI	SRI
Q9UIG8	SO3A1_HUMAN	Solute carrier organic anion transporter family member 3A1 (OATP3A1) (Organic anion transporter polypeptide-related protein 3) (OATP-RP3) (OATPRP3) (Organic anion-transporting polypeptide D) (OATP-D) (PGE1 transporter) (Sodium-independent organic anion transporter D) (Solute carrier family 21 member 11)	SLCO3A1 OATP3A1 OATPD SLC21A11	SLCO3A1
O95347	SMC2_HUMAN	Structural maintenance of chromosomes protein 2 (SMC protein 2) (SMC-2) (Chromosome-associated protein E) (hCAP-E) (XCAP-E homolog)	SMC2 CAPE SMC2L1 PRO0324	SMC2
Q5TAH2	SL9C2_HUMAN	Sodium/hydrogen exchanger 11 (Na(+)/H(+) exchanger 11) (NHE-11) (Solute carrier family 9 member 11) (Solute carrier family 9 member C2)	SLC9C2 SLC9A11	SLC9C2
Q14683	SMC1A_HUMAN	Structural maintenance of chromosomes protein 1A (SMC protein 1A) (SMC-1-alpha) (SMC-1A) (Sb1.8)	SMC1A DXS423E KIAA0178 SB1.8 SMC1 SMC1L1	SMC1A
A6NCI5	SIM16_HUMAN	Putative transmembrane protein encoded by LINC00862 (Small integral membrane protein 16)	LINC00862 C1orf98 SMIM16	LINC00862
Q9NXL6	SIDT1_HUMAN	SID1 transmembrane family member 1	SIDT1	SIDT1
Q15477	SKIV2_HUMAN	Helicase SKI2W (Ski2) (EC 3.6.4.-) (Helicase-like protein) (HLP)	SKIV2L DDX13 SKI2W SKIV2 W	SKIV2L
A6NMZ2	SNTAN_HUMAN	Sentan (Protein S100-A1-like) (S100 calcium-binding protein A1-like)	SNTN S100A1L	SNTN
Q7RTT4	SSX8_HUMAN	Putative protein SSX8	SSX8P SSX8	SSX8P
Q8NFX7	STXB6_HUMAN	Syntaxin-binding protein 6 (Amisyn)	STXBP6 HSPC156	STXBP6
Q9C0K7	STRAB_HUMAN	STE20-related kinase adapter protein beta (STRAD beta) (Amyotrophic lateral sclerosis 2 chromosomal region candidate gene 2 protein) (CALS-21) (ILP-interacting protein) (Pseudokinase ALS2CR2)	STRADB ALS2CR2 ILPIP PRO1038	STRADB
Q86SS6	SYT9_HUMAN	Synaptotagmin-9 (Synaptotagmin IX) (SytIX)	SYT9	SYT9
P59542	T2R19_HUMAN	Taste receptor type 2 member 19 (Taste receptor type 2 member 23) (Taste receptor type 2 member 48) (T2R48)	TAS2R19 TAS2R23 TAS2R48	TAS2R19
Q5H9L2	TCAL5_HUMAN	Transcription elongation factor A protein-like 5 (TCEA-like protein 5) (Transcription elongation factor S-II protein-like 5)	TCEAL5	TCEAL5
Q14C87	T132D_HUMAN	Transmembrane protein 132D (Mature oligodendrocytes transmembrane protein) (Mature OL transmembrane protein)	TMEM132D HBE120 KIAA1944 MOLT	TMEM132D
Q9H4B7	TBB1_HUMAN	Tubulin beta-1 chain	TUBB1	TUBB1
O75157	T22D2_HUMAN	TSC22 domain family protein 2 (TSC22-related-inducible leucine zipper protein 4)	TSC22D2 KIAA0669 TILZ4	TSC22D2
O14948	TFEC_HUMAN	Transcription factor EC (TFE-C) (Class E basic helix-loop-helix protein 34) (bHLHe34) (Transcription factor EC-like) (hTFEC-L)	TFEC BHLHE34 TCFEC TFECL	TFEC
A7MCY6	TBKB1_HUMAN	TANK-binding kinase 1-binding protein 1 (TBK1-binding protein 1)	TBKBP1 KIAA0775 SINTBAD	TBKBP1
Q8N6K0	TEX29_HUMAN	Testis-expressed protein 29	TEX29 C13orf16	TEX29
Q6ZNM6	TEX43_HUMAN	Testis-expressed protein 43	TEX43 C5orf48	TEX43
Q68D42	TM215_HUMAN	Transmembrane protein 215	TMEM215	TMEM215
Q86YL5	TDRP_HUMAN	Testis development-related protein (Protein INM01)	TDRP C8orf42	TDRP
Q6ZYL4	TF2H5_HUMAN	General transcription factor IIH subunit 5 (General transcription factor IIH polypeptide 5) (TFB5 ortholog) (TFIIH basal transcription factor complex TTD-A subunit)	GTF2H5 C6orf175 TTDA	GTF2H5
Q12789	TF3C1_HUMAN	General transcription factor 3C polypeptide 1 (TF3C-alpha) (TFIIIC box B-binding subunit) (Transcription factor IIIC 220 kDa subunit) (TFIIIC 220 kDa subunit) (TFIIIC220) (Transcription factor IIIC subunit alpha)	GTF3C1	GTF3C1
Q9P016	THYN1_HUMAN	Thymocyte nuclear protein 1 (Thymocyte protein Thy28)	THYN1 THY28 HSPC144 MDS012 My0054	THYN1
Q2WGJ8	TM249_HUMAN	Transmembrane protein 249	TMEM249 C8orfK29	TMEM249
A8MYB1	TMC5B_HUMAN	Transmembrane and coiled-coil domain-containing protein 5B	TMCO5B	TMCO5B
Q9Y2S6	TMA7_HUMAN	Translation machinery-associated protein 7 (Coiled-coil domain-containing protein 72)	TMA7 CCDC72 HSPC016 HSPC330	TMA7
A0A1W2PR48	TLE7_HUMAN	Transducin-like enhancer protein 7	TLE7	TLE7
A0A075B6Y3	TJA3_HUMAN	T cell receptor alpha joining 3	TRAJ3	TRAJ3
Q15785	TOM34_HUMAN	Mitochondrial import receptor subunit TOM34 (hTom34) (Translocase of outer membrane 34 kDa subunit)	TOMM34 URCC3	TOMM34
O15405	TOX3_HUMAN	TOX high mobility group box family member 3 (CAG trinucleotide repeat-containing gene F9 protein) (Trinucleotide repeat-containing gene 9 protein)	TOX3 CAGF9 TNRC9	TOX3
P02585	TNNC2_HUMAN	Troponin C, skeletal muscle	TNNC2	TNNC2
P63316	TNNC1_HUMAN	Troponin C, slow skeletal and cardiac muscles (TN-C)	TNNC1 TNNC	TNNC1
P00750	TPA_HUMAN	Tissue-type plasminogen activator (t-PA) (t-plasminogen activator) (tPA) (EC 3.4.21.68) (Alteplase) (Reteplase) [Cleaved into: Tissue-type plasminogen activator chain A; Tissue-type plasminogen activator chain B]	PLAT	PLAT
P07204	TRBM_HUMAN	Thrombomodulin (TM) (Fetomodulin) (CD antigen CD141)	THBD THRM	THBD
Q96J77	TPD55_HUMAN	Tumor protein D55 (hD55) (Testis development protein NYD-SP25) (Tumor protein D52-like 3)	TPD52L3	TPD52L3
Q9HAV5	TNR27_HUMAN	Tumor necrosis factor receptor superfamily member 27 (X-linked ectodysplasin-A2 receptor) (EDA-A2 receptor)	EDA2R TNFRSF27 XEDAR UNQ2448/PRO5727/PRO34080	EDA2R
Q07283	TRHY_HUMAN	Trichohyalin	TCHH THH THL TRHY	TCHH
Q9BYJ4	TRI34_HUMAN	Tripartite motif-containing protein 34 (Interferon-responsive finger protein 1) (RING finger protein 21)	TRIM34 IFP1 RNF21	TRIM34
Q96NL1	TMM74_HUMAN	Transmembrane protein 74	TMEM74	TMEM74
Q8IYT8	ULK2_HUMAN	Serine/threonine-protein kinase ULK2 (EC 2.7.11.1) (Unc-51-like kinase 2)	ULK2 KIAA0623	ULK2
O14598	VCY1_HUMAN	Testis-specific basic protein Y 1 (Basic charge, Y-linked 1) (Variably charged protein Y)	VCY BPY1 VCY1A; VCY1B BPY1B	VCY; VCY1B
P63027	VAMP2_HUMAN	Vesicle-associated membrane protein 2 (VAMP-2) (Synaptobrevin-2)	VAMP2 SYB2	VAMP2
Q8TCV5	WFDC5_HUMAN	WAP four-disulfide core domain protein 5 (Putative protease inhibitor WAP1) (p53-responsive gene 5 protein)	WFDC5 PRG5 WAP1 UNQ3036/PRO9842	WFDC5
Q9BV38	WDR18_HUMAN	WD repeat-containing protein 18	WDR18	WDR18
O75063	XYLK_HUMAN	Glycosaminoglycan xylosylkinase (EC 2.7.1.-) (Xylose kinase)	FAM20B KIAA0475	FAM20B
Q9BZH6	WDR11_HUMAN	WD repeat-containing protein 11 (Bromodomain and WD repeat-containing protein 2) (WD repeat-containing protein 15)	WDR11 BRWD2 KIAA1351 WDR15	WDR11
P01282	VIP_HUMAN	VIP peptides [Cleaved into: Intestinal peptide PHV-42 (Peptide histidine valine 42); Intestinal peptide PHM-27 (Peptide histidine methioninamide 27); Vasoactive intestinal peptide (VIP) (Vasoactive intestinal polypeptide)]	VIP	VIP
Q8IW00	VSTM4_HUMAN	V-set and transmembrane domain-containing protein 4 [Cleaved into: Peptide Lv]	VSTM4 C10orf72	VSTM4
O75691	UTP20_HUMAN	Small subunit processome component 20 homolog (Down-regulated in metastasis protein) (Novel nucleolar protein 73) (NNP73) (Protein Key-1A6)	UTP20 DRIM	UTP20
O43592	XPOT_HUMAN	Exportin-T (Exportin(tRNA)) (tRNA exportin)	XPOT	XPOT
Q9H6Y2	WDR55_HUMAN	WD repeat-containing protein 55	WDR55	WDR55
A8MUA0	YB057_HUMAN	Putative UPF0607 protein ENSP00000381514		
P17029	ZKSC1_HUMAN	Zinc finger protein with KRAB and SCAN domains 1 (Zinc finger protein 139) (Zinc finger protein 36) (Zinc finger protein KOX18)	ZKSCAN1 KOX18 ZNF139 ZNF36	ZKSCAN1
P10073	ZSC22_HUMAN	Zinc finger and SCAN domain-containing protein 22 (Krueppel-related zinc finger protein 2) (Protein HKR2) (Zinc finger protein 50)	ZSCAN22 HKR2 ZNF50	ZSCAN22
Q8N2G6	ZCH24_HUMAN	Zinc finger CCHC domain-containing protein 24	ZCCHC24 C10orf56	ZCCHC24
Q9ULJ3	ZBT21_HUMAN	Zinc finger and BTB domain-containing protein 21 (Zinc finger protein 295)	ZBTB21 KIAA1227 ZNF295	ZBTB21
Q9UJW8	ZN180_HUMAN	Zinc finger protein 180 (HHZ168)	ZNF180	ZNF180
Q9Y330	ZBT12_HUMAN	Zinc finger and BTB domain-containing protein 12 (Protein G10)	ZBTB12 C6orf46 G10 NG35	ZBTB12
Q8WVZ1	ZDH19_HUMAN	Palmitoyltransferase ZDHHC19 (EC 2.3.1.225) (Zinc finger DHHC domain-containing protein 19) (DHHC-19)	ZDHHC19	ZDHHC19
O14978	ZN263_HUMAN	Zinc finger protein 263 (Zinc finger protein FPM315) (Zinc finger protein with KRAB and SCAN domains 12)	ZNF263 FPM315 ZKSCAN12	ZNF263
Q6ZMN7	PZRN4_HUMAN	PDZ domain-containing RING finger protein 4 (Ligand of Numb protein X 4) (SEMACAP3-like protein)	PDZRN4 LNX4 SEMCAP3L	PDZRN4
Q6UX71	PXDC2_HUMAN	Plexin domain-containing protein 2 (Tumor endothelial marker 7-related protein)	PLXDC2 TEM7R UNQ2514/PRO6003	PLXDC2
Q9BRL6	SRSF8_HUMAN	Serine/arginine-rich splicing factor 8 (Pre-mRNA-splicing factor SRP46) (Splicing factor SRp46) (Splicing factor, arginine/serine-rich 2B)	SRSF8 SFRS2B SRP46	SRSF8
Q687X5	STEA4_HUMAN	Metalloreductase STEAP4 (EC 1.16.1.9) (Six-transmembrane epithelial antigen of prostate 4) (SixTransMembrane protein of prostate 2) (Tumor necrosis factor, alpha-induced protein 9)	STEAP4 STAMP2 TNFAIP9	STEAP4
P27105	STOM_HUMAN	Stomatin (Erythrocyte band 7 integral membrane protein) (Erythrocyte membrane protein band 7.2) (Protein 7.2b)	STOM BND7 EPB72	STOM
Q9H7V2	SYNG1_HUMAN	Synapse differentiation-inducing gene protein 1 (SynDIG1) (Dispanin subfamily C member 2) (DSPC2) (Transmembrane protein 90B)	SYNDIG1 C20orf39 TMEM90B	SYNDIG1
P29083	T2EA_HUMAN	General transcription factor IIE subunit 1 (General transcription factor IIE 56 kDa subunit) (Transcription initiation factor IIE subunit alpha) (TFIIE-alpha)	GTF2E1 TF2E1	GTF2E1
Q9NYV9	T2R13_HUMAN	Taste receptor type 2 member 13 (T2R13) (Taste receptor family B member 3) (TRB3)	TAS2R13	TAS2R13
Q92844	TANK_HUMAN	TRAF family member-associated NF-kappa-B activator (TRAF-interacting protein) (I-TRAF)	TANK ITRAF TRAF2	TANK
Q2M2D7	TBC28_HUMAN	TBC1 domain family member 28	TBC1D28	TBC1D28
Q8NBL3	T178A_HUMAN	Transmembrane protein 178A	TMEM178A TMEM178 PSEC0131 UNQ5926/PRO19820	TMEM178A
Q9H6P5	TASP1_HUMAN	Threonine aspartase 1 (Taspase-1) (EC 3.4.25.-) [Cleaved into: Threonine aspartase subunit alpha; Threonine aspartase subunit beta]	TASP1 C20orf13	TASP1
Q9NYJ8	TAB2_HUMAN	TGF-beta-activated kinase 1 and MAP3K7-binding protein 2 (Mitogen-activated protein kinase kinase kinase 7-interacting protein 2) (TAK1-binding protein 2) (TAB-2) (TGF-beta-activated kinase 1-binding protein 2)	TAB2 KIAA0733 MAP3K7IP2	TAB2
Q1AE95	T183B_HUMAN	Transmembrane protein 183B	TMEM183B C1orf37-dup	TMEM183B
Q9UP52	TFR2_HUMAN	Transferrin receptor protein 2 (TfR2)	TFR2	TFR2
Q5VWP2	TET5C_HUMAN	Terminal nucleotidyltransferase 5C (EC 2.7.7.19) (Non-canonical poly(A) polymerase FAM46C)	TENT5C FAM46C	TENT5C
Q6B0B8	TIGD3_HUMAN	Tigger transposable element-derived protein 3	TIGD3	TIGD3
A0A1W2PP97	THSD8_HUMAN	Thrombospondin type-1 domain-containing protein 8	THSD8	THSD8
Q9NS62	THSD1_HUMAN	Thrombospondin type-1 domain-containing protein 1 (Transmembrane molecule with thrombospondin module)	THSD1 TMTSP UNQ3010/PRO9769	THSD1
Q7L2K0	TEDC2_HUMAN	Tubulin epsilon and delta complex protein 2	TEDC2 C16orf59	TEDC2
O60220	TIM8A_HUMAN	Mitochondrial import inner membrane translocase subunit Tim8 A (Deafness dystonia protein 1) (X-linked deafness dystonia protein)	TIMM8A DDP DDP1 TIM8A	TIMM8A
Q9NWC5	TM45A_HUMAN	Transmembrane protein 45A (DNA polymerase-transactivated protein 4) (Dermal papilla-derived protein 7)	TMEM45A DERP7 DNAPTP4	TMEM45A
Q8IYQ7	THNS1_HUMAN	Threonine synthase-like 1 (TSH1)	THNSL1	THNSL1
Q8N661	TM86B_HUMAN	Lysoplasmalogenase (EC 3.3.2.2) (Transmembrane protein 86B)	TMEM86B	TMEM86B
Q86UB9	TM135_HUMAN	Transmembrane protein 135 (Peroxisomal membrane protein 52) (PMP52)	TMEM135	TMEM135
P42765	THIM_HUMAN	3-ketoacyl-CoA thiolase, mitochondrial (EC 2.3.1.16) (Acetyl-CoA acetyltransferase) (EC 2.3.1.9) (Acetyl-CoA acyltransferase) (Acyl-CoA hydrolase, mitochondrial) (EC 3.1.2.-) (EC 3.1.2.1) (EC 3.1.2.2) (Beta-ketothiolase) (Mitochondrial 3-oxoacyl-CoA thiolase) (T1)	ACAA2	ACAA2
Q06643	TNFC_HUMAN	Lymphotoxin-beta (LT-beta) (Tumor necrosis factor C) (TNF-C) (Tumor necrosis factor ligand superfamily member 3)	LTB TNFC TNFSF3	LTB
Q8N616	TM148_HUMAN	Putative uncharacterized protein encoded by LINC00311	LINC00311 NCRNA00311 TMEM148	LINC00311
Q96A98	TIP39_HUMAN	Tuberoinfundibular peptide of 39 residues (TIP39) (Parathyroid hormone 2)	PTH2 TIP39 TIPF39	PTH2
A0A0A0MT94	TJB22_HUMAN	T cell receptor beta joining 2-2	TRBJ2-2	TRBJ2-2
Q9Y2W2	WBP11_HUMAN	WW domain-binding protein 11 (WBP-11) (Npw38-binding protein) (NpwBP) (SH3 domain-binding protein SNP70) (Splicing factor that interacts with PQBP-1 and PP1)	WBP11 NPWBP SIPP1 SNP70	WBP11
Q6Q0C0	TRAF7_HUMAN	E3 ubiquitin-protein ligase TRAF7 (EC 2.3.2.27) (RING finger and WD repeat-containing protein 1) (RING finger protein 119) (RING-type E3 ubiquitin transferase TRAF7) (TNF receptor-associated factor 7)	TRAF7 RFWD1 RNF119	TRAF7
Q16890	TPD53_HUMAN	Tumor protein D53 (hD53) (Tumor protein D52-like 1)	TPD52L1	TPD52L1
P20396	TRH_HUMAN	Pro-thyrotropin-releasing hormone (Pro-TRH) (Prothyroliberin) [Cleaved into: Thyrotropin-releasing hormone (TRH) (Protirelin) (TSH-releasing factor) (Thyroliberin) (Thyrotropin-releasing factor) (TRF)]	TRH	TRH
Q96BQ3	TRI43_HUMAN	Tripartite motif-containing protein 43	TRIM43	TRIM43
P56180	TPTE_HUMAN	Putative tyrosine-protein phosphatase TPTE (EC 3.1.3.48) (Cancer/testis antigen 44) (CT44) (Transmembrane phosphatase with tensin homology) (Tumor antigen BJ-HCC-5)	TPTE	TPTE
Q96LD4	TRI47_HUMAN	E3 ubiquitin-protein ligase TRIM47 (EC 2.3.2.27) (Gene overexpressed in astrocytoma protein) (RING finger protein 100) (Tripartite motif-containing protein 47)	TRIM47 GOA RNF100	TRIM47
Q5T4D3	TMTC4_HUMAN	Protein O-mannosyl-transferase TMTC4 (EC 2.4.1.109) (Transmembrane and TPR repeat-containing protein 4)	TMTC4	TMTC4
Q86UV7	TRI73_HUMAN	Tripartite motif-containing protein 73 (Tripartite motif-containing protein 50B)	TRIM73 TRIM50B	TRIM73
Q6ZUK4	TMM26_HUMAN	Transmembrane protein 26	TMEM26	TMEM26
Q8IUR0	TPPC5_HUMAN	Trafficking protein particle complex subunit 5	TRAPPC5	TRAPPC5
O75888	TNF13_HUMAN	Tumor necrosis factor ligand superfamily member 13 (A proliferation-inducing ligand) (APRIL) (TNF- and APOL-related leukocyte expressed ligand 2) (TALL-2) (TNF-related death ligand 1) (TRDL-1) (CD antigen CD256)	TNFSF13 APRIL TALL2 ZTNF2 UNQ383/PRO715	TNFSF13
Q6ZNR0	TMM91_HUMAN	Transmembrane protein 91 (Dispanin subfamily C member 3) (DSPC3)	TMEM91	TMEM91
Q9H892	TTC12_HUMAN	Tetratricopeptide repeat protein 12 (TPR repeat protein 12)	TTC12	TTC12
Q9NX01	TXN4B_HUMAN	Thioredoxin-like protein 4B (Dim1-like protein)	TXNL4B DIM2 DLP	TXNL4B
Q86XW9	TXND6_HUMAN	Thioredoxin domain-containing protein 6 (Thioredoxin-like protein 2) (Txl-2)	NME9 TXL2 TXNDC6	NME9
Q96NG3	TTC25_HUMAN	Tetratricopeptide repeat protein 25 (TPR repeat protein 25)	TTC25	TTC25
Q5TAA0	TTC22_HUMAN	Tetratricopeptide repeat protein 22 (TPR repeat protein 22)	TTC22	TTC22
O14604	TYB4Y_HUMAN	Thymosin beta-4, Y-chromosomal	TMSB4Y TB4Y	TMSB4Y
